aX,aY,aZ,proximity,label
0.486,0.185,0.891,0.9607843137254902,0
0.897,0.763,0.3785,0.0,1
0.831,0.8514999999999999,0.587,0.0,1
0.848,0.8260000000000001,0.5915,0.0,1
0.8685,0.8225,0.456,0.0,1
0.8305,0.8400000000000001,0.6015,0.0,1
0.4975,0.4295,0.997,0.43137254901960786,0
0.8220000000000001,0.8545,0.6055,0.01568627450980392,1
0.485,0.4255,0.997,0.9607843137254902,0
0.866,0.7765,0.304,0.22745098039215686,1
0.8045,0.863,0.3675,0.0,1
0.8345,0.8105,0.3175,0.0392156862745098,1
0.915,0.728,0.356,0.3137254901960784,1
0.8095,0.8525,0.372,0.0,1
0.4925,0.46599999999999997,1.006,0.9607843137254902,0
0.493,0.395,0.996,0.9725490196078431,0
0.845,0.8400000000000001,0.6105,0.0,1
0.434,0.38,1.004,0.9607843137254902,0
0.8665,0.8260000000000001,0.4595,0.0,1
0.481,0.9565,0.6575,0.9411764705882353,0
0.899,0.7949999999999999,0.419,0.09019607843137255,1
0.4635,0.5605,1.0085,0.9686274509803922,0
0.8935,0.7785,0.38,0.0,1
0.872,0.763,0.3165,0.396078431372549,1
0.878,0.749,0.308,0.07058823529411765,1
0.7969999999999999,0.853,0.665,0.0,1
0.8320000000000001,0.7925,0.2885,0.20392156862745098,1
0.9099999999999999,0.7475,0.35050000000000003,0.18823529411764706,1
0.8925000000000001,0.78,0.3755,0.0,1
0.876,0.768,0.322,0.43137254901960786,1
0.4995,0.3745,0.9895,0.9607843137254902,0
0.5115,0.4515,1.0034999999999998,0.9568627450980393,0
0.903,0.7135,0.3155,0.17647058823529413,1
0.8935,0.765,0.357,0.16470588235294117,1
0.4795,0.4435,1.0095,0.6784313725490196,0
0.489,0.4495,1.0030000000000001,0.27058823529411763,0
0.9125,0.7415,0.35850000000000004,0.13725490196078433,1
0.881,0.7745,0.33699999999999997,0.0,1
0.4795,0.5425,0.9855,0.7019607843137254,0
0.4615,0.6905,0.958,0.9568627450980393,0
0.478,0.377,0.982,0.6980392156862745,0
0.8035,0.8505,0.32899999999999996,0.0,1
0.4845,0.4495,0.99,0.9529411764705882,0
0.8240000000000001,0.859,0.5865,0.0,1
0.485,0.472,0.9995,0.9647058823529412,0
0.8400000000000001,0.7915,0.29600000000000004,0.07058823529411765,1
0.9045000000000001,0.712,0.3215,0.29411764705882354,1
0.8785000000000001,0.748,0.321,0.00784313725490196,1
0.8380000000000001,0.7865,0.27549999999999997,0.16470588235294117,1
0.4545,0.403,0.9775,0.9372549019607843,0
0.496,0.5135,1.0034999999999998,0.9176470588235294,0
0.8895,0.7825,0.3655,0.26666666666666666,1
0.8160000000000001,0.8425,0.3325,0.0,1
0.894,0.7475,0.3375,0.0392156862745098,1
0.9115,0.743,0.368,0.11764705882352941,1
0.89,0.7185,0.3065,0.0,1
0.8745,0.744,0.2875,0.0,1
0.4975,0.4375,0.9995,0.8274509803921568,0
