time,aX,aY,aZ,proximity
73542,-0.061,0.901,0.422,-1
73742,-0.094,0.948,0.248,239
73942,0.040,1.125,0.388,-1
74142,-0.003,1.008,0.062,221
74342,-0.002,0.985,0.123,-1
74542,-0.005,0.975,0.137,219
74742,-0.004,0.977,0.125,-1
74942,-0.004,0.978,0.114,212
75142,-0.003,0.978,0.107,-1
75342,-0.005,0.979,0.099,205
75542,-0.005,0.979,0.097,-1
75742,-0.004,0.980,0.092,203
75942,-0.006,0.991,0.060,-1
76142,-0.004,0.983,0.078,199
76342,-0.005,0.981,0.083,-1
76542,-0.004,0.982,0.079,197
76742,-0.006,0.980,0.088,-1
76942,-0.003,0.994,0.086,211
77142,-0.008,0.983,0.082,-1
77342,-0.006,0.976,0.088,199
77542,0.067,0.942,0.138,-1
77742,-0.006,0.965,0.155,220
77942,-0.023,0.931,0.241,-1
78142,-0.035,0.982,0.216,238
78342,-0.053,0.934,0.364,-1
78542,-0.020,0.845,0.540,242
78742,0.050,0.801,0.545,-1
78942,0.047,0.693,0.714,244
79142,-0.007,0.682,0.756,-1
79342,0.010,0.534,0.895,245
79542,-0.057,0.297,0.705,-1
79742,-0.065,-0.072,0.915,246
79942,-0.033,0.015,1.011,-1
80142,-0.015,-0.068,1.012,245
80342,-0.040,-0.161,0.990,-1
80542,-0.023,-0.093,1.010,244
80742,-0.073,-0.274,0.956,-1
80942,-0.059,-0.460,1.054,245
81142,-0.064,-0.656,0.861,-1
81342,-0.180,-0.736,0.436,246
81542,-0.068,-0.897,0.416,-1
81742,0.014,-0.981,0.176,226
81942,0.018,-0.973,0.238,-1
82142,0.020,-0.967,0.257,232
82342,0.016,-0.971,0.234,-1
82542,0.016,-0.975,0.235,230
82742,0.010,-0.983,0.231,-1
82942,0.021,-0.970,0.251,233
83142,0.029,-0.967,0.269,-1
83342,0.022,-0.965,0.292,238
83542,0.008,-0.936,0.355,-1
83742,0.018,-0.874,0.465,245
83942,0.036,-0.891,0.476,-1
84142,0.041,-0.793,0.585,245
84342,0.047,-0.818,0.579,-1
84542,0.038,-0.796,0.596,246
84742,0.036,-0.794,0.606,-1
84942,0.046,-0.793,0.584,245
85142,-0.011,-0.903,0.475,-1
85342,-0.170,-0.931,0.339,243
85542,-0.141,-0.906,0.367,-1
85742,-0.026,-0.842,0.569,246
85942,-0.073,-0.781,0.629,-1
86142,-0.028,-0.630,0.782,245
86342,-0.046,-0.554,0.838,-1
86542,-0.044,-0.447,0.900,246
86742,-0.040,-0.454,0.890,-1
86942,-0.035,-0.447,0.888,246
87142,-0.045,-0.396,0.916,-1
87342,-0.001,-0.251,0.979,245
87542,0.035,0.042,1.054,-1
87742,0.049,-0.003,0.992,246
87942,0.065,-0.022,0.994,-1
88142,0.030,-0.043,0.996,244
88342,0.107,-0.010,1.006,-1
88542,0.037,-0.032,1.016,188
88742,0.045,-0.025,1.000,-1
88942,-0.025,-0.087,1.007,76
89142,-0.005,0.007,1.002,-1
89342,0.009,-0.026,1.002,0
89542,-0.001,0.008,1.003,-1
89742,0.025,0.010,1.004,0
89942,-0.002,0.004,1.008,-1
90142,0.031,0.007,1.003,69
90342,0.043,0.010,1.004,-1
90542,0.025,-0.030,1.019,205
90742,0.040,0.044,0.995,-1
90942,0.037,0.049,0.998,245
91142,0.027,0.147,1.022,-1
91342,0.011,0.206,0.993,246
91542,-0.007,0.158,1.014,-1
91742,0.064,0.316,0.979,247
91942,-0.002,0.669,0.762,-1
92142,-0.013,0.826,0.524,244
92342,-0.006,0.802,0.599,-1
92542,-0.125,0.786,0.548,244
92742,-0.023,0.676,0.713,-1
92942,-0.060,0.820,0.513,245
93142,-0.082,0.890,0.382,-1
93342,-0.089,0.915,0.282,240
93542,-0.081,0.967,0.164,-1
93742,-0.061,0.974,0.140,215
93942,-0.063,0.982,0.062,-1
94142,-0.048,0.957,0.187,227
94342,-0.042,0.980,0.149,-1
94542,-0.067,0.964,0.173,226
94742,0.031,0.983,0.144,-1
94942,-0.018,0.992,0.164,225
95142,-0.013,0.982,0.144,-1
95342,-0.038,0.913,0.315,240
95542,-0.007,0.625,0.794,-1
95742,-0.043,0.407,0.946,245
95942,-0.067,0.096,1.003,-1
96142,-0.031,-0.101,0.980,243
96342,0.014,-0.090,1.061,-1
96542,0.001,0.157,1.083,245
96742,-0.073,0.956,0.325,-1
96942,-0.054,0.988,0.171,235
97142,0.032,0.994,0.230,-1
97342,0.024,0.955,0.176,222
97542,-0.007,0.978,0.121,-1
97742,0.003,0.966,0.107,209
97942,-0.005,0.977,0.092,-1
98142,-0.006,0.980,0.080,199
98342,-0.005,0.982,0.074,-1
98542,-0.005,0.983,0.072,193
98742,-0.006,0.981,0.069,-1
98942,-0.005,0.982,0.064,192
99142,-0.006,0.983,0.062,-1
99342,-0.005,0.984,0.062,191
99542,-0.007,0.982,0.061,-1
99742,-0.006,0.983,0.061,189
99942,-0.006,0.982,0.059,-1
100142,-0.006,0.982,0.056,187
100342,-0.007,0.983,0.057,-1
100542,-0.006,0.982,0.053,185
100742,-0.005,0.983,0.053,-1
