Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
4.380,-28.035,35.211,193.275
4.390,-27.702,35.358,193.215
4.400,-27.378,35.496,193.162
4.410,-27.041,35.638,193.107
4.420,-26.701,35.778,193.055
4.430,-26.361,35.915,193.004
4.440,-26.018,36.050,192.955
4.450,-25.675,36.182,192.909
4.460,-25.329,36.312,192.864
4.470,-24.983,36.439,192.821
4.480,-24.635,36.564,192.780
4.490,-24.285,36.686,192.741
4.500,-23.934,36.806,192.703
4.510,-23.583,36.923,192.667
4.520,-23.229,37.039,192.633
4.530,-22.875,37.152,192.600
4.540,-22.520,37.263,192.569
4.550,-22.163,37.371,192.539
4.560,-21.805,37.478,192.511
4.570,-21.446,37.582,192.484
4.580,-21.087,37.684,192.458
4.590,-20.726,37.784,192.434
4.600,-20.364,37.881,192.410
4.610,-20.001,37.977,192.388
4.620,-19.638,38.071,192.367
4.630,-19.274,38.162,192.348
4.640,-18.908,38.252,192.329
4.650,-18.542,38.339,192.311
4.660,-18.176,38.424,192.294
4.670,-17.808,38.508,192.278
4.680,-17.454,38.585,192.265
4.690,-17.085,38.665,192.251
4.700,-16.715,38.743,192.237
4.710,-16.345,38.819,192.225
4.720,-15.974,38.893,192.213
4.730,-15.603,38.965,192.202
4.740,-15.231,39.035,192.192
4.750,-14.858,39.103,192.182
4.760,-14.485,39.170,192.173
4.770,-14.112,39.234,192.165
4.780,-13.752,39.294,192.157
4.790,-13.378,39.355,192.150
4.800,-13.003,39.414,192.143
4.810,-12.642,39.469,192.137
4.820,-12.266,39.524,192.131
4.830,-11.889,39.579,192.126
4.840,-11.513,39.631,192.121
4.850,-11.136,39.682,192.116
4.860,-10.759,39.731,192.111
4.870,-10.382,39.778,192.107
4.880,-10.004,39.823,192.103
4.890,-9.627,39.867,192.099
4.900,-9.249,39.909,192.096
4.910,-8.871,39.949,192.092
4.920,-8.494,39.988,192.089
4.930,-8.116,40.025,192.086
4.940,-7.738,40.060,192.083
4.950,-7.360,40.093,192.080
4.960,-6.983,40.125,192.077
4.970,-6.605,40.156,192.074
4.980,-6.227,40.184,192.071
4.990,-5.849,40.211,192.069
5.000,-5.471,40.236,192.066
5.010,-5.093,40.260,192.063
5.020,-4.730,40.280,192.060
5.030,-4.352,40.301,192.057
5.040,-3.973,40.320,192.055
5.050,-3.595,40.337,192.052
5.060,-3.218,40.352,192.049
5.070,-2.840,40.366,192.045
5.080,-2.463,40.379,192.042
