Angle,Mean_ax,Std_ax,Mean_ay,Std_ay,Mean_az,Std_az,Mean_Norm,Std_Norm,Sensor,Orientation,Offsets
60,-0.0038,0.0007888106377466155,-0.821,0.0008164965809277157,0.4346,0.000699205898780106,0.9289421236345383,0.0009011951040781334,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
80,0.0078,0.0007888106377466152,-0.9176,0.000966091783079288,0.1025,0.0008498365855987944,0.9233407100976002,0.000962102130887743,BMI270,Roll,"Offsets: ax: -0.009, ay: -0.081, az: 0.006"
-80,0.1162,0.002898275349237884,1.0005,0.003597838857487125,0.28979999999999995,0.012035133752661152,1.0481526960688663,0.0036856664656651785,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-60,0.086,0.0021602468994692853,0.8612,0.0014757295747452458,0.6182000000000001,0.009089676684141325,1.063622511773481,0.004755400283544917,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-40,0.0528,0.003293090409394257,0.6399,0.0029230881691191947,0.8579000000000001,0.0070624201077094054,1.0715835946773526,0.005077140310905091,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-20,0.0273,0.002668749186833079,0.3321,0.003071373199943855,1.0218,0.008941787044856039,1.0747722945687244,0.008320979341353946,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
0,-0.0013000000000000002,0.0030203016773531453,0.0046,0.005834761729877617,1.0699999999999998,0.004898979485566366,1.0700288543376635,0.004893406542041813,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
20,-0.001,0.003559026084010437,-0.33290000000000003,0.003142893217686175,1.0043,0.009787179823058802,1.0580487479672418,0.009501282074437263,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
40,-0.0206,0.0037475918193480536,-0.6296999999999999,0.0027507574714370677,0.8209,0.004357624225296259,1.034819843127179,0.002923519614138673,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
60,-0.0019000000000000002,0.004605552204797065,-0.8522000000000001,0.0018135294011647127,0.5451,0.005606543795720634,1.0116435452888126,0.0033561345957195494,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
80,0.036199999999999996,0.002043961295567451,-0.9669000000000001,0.005195083145522193,0.2246,0.004325634186002227,0.9933124052940234,0.0054329743236900055,MPU6050,Pitch,"Offsets: ax: -0.030, ay: -0.044, az: -0.034"
-80,0.9296000000000001,0.003502380143083653,0.0737,0.0030930028559098804,0.2613,0.00492273636642605,0.9684515299780763,0.0030973255709465125,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-60,0.5967,0.0035292429153510525,0.0433,0.0031640339933558096,0.8346,0.004141926551202414,1.0268923020659741,0.0034640948222874057,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-40,0.4992,0.002859681411936954,-0.0193,0.0026267851073127394,0.9051,0.004557045826702509,1.0338261499061825,0.004067728025382554,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
-20,0.27470000000000006,0.004762119042797821,-0.047599999999999996,0.004299870799092561,1.0101,0.005043147165543938,1.047886654354674,0.004871644186069417,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
0,0.05,0.002748737083745107,-0.0262,0.0019888578520235066,1.0572,0.00812130257751523,1.0587111263766156,0.008079527376025922,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
20,-0.27040000000000003,0.002836272984824357,-0.0134,0.00211869981094276,1.0381,0.008451824260674992,1.0728283026965024,0.008322188103135104,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
40,-0.5765,0.004143267631552025,0.008400000000000001,0.002270584848790187,0.9045,0.01112804265508243,1.0726650540433773,0.00845128748366486,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
60,-0.8237,0.0043474130238568345,0.036,0.004570436400267362,0.6829000000000001,0.006332456079595051,1.070605835662382,0.002390872842113775,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
80,-0.9813000000000001,0.003497618237219924,0.0665,0.006450667493454542,0.38780000000000003,0.01310470653365933,1.0573305039449572,0.004217085289188,MPU6050,Roll,"Offsets: ax: 0.094, ay: -0.111, az: -0.032"
