Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
7.590,58.424,1.973,180.722
7.600,58.451,1.713,180.681
7.610,58.472,1.465,180.645
7.620,58.491,1.216,180.608
7.630,58.508,0.966,180.573
7.640,58.522,0.717,180.538
7.650,58.534,0.467,180.505
7.660,58.544,0.218,180.471
7.670,58.552,-0.032,180.439
7.680,58.560,-0.293,180.405
7.690,58.565,-0.553,180.371
7.700,58.567,-0.812,180.339
7.710,58.567,-1.072,180.307
7.720,58.565,-1.331,180.276
7.730,58.558,-1.580,180.249
7.740,58.551,-1.839,180.220
7.750,58.542,-2.098,180.191
7.760,58.529,-2.357,180.164
7.770,58.515,-2.615,180.138
7.780,58.498,-2.873,180.112
7.790,58.478,-3.131,180.087
7.800,58.456,-3.389,180.064
7.810,58.431,-3.646,180.041
7.820,58.404,-3.903,180.019
7.830,58.374,-4.149,180.000
7.840,58.342,-4.396,179.981
7.850,58.307,-4.642,179.963
7.860,58.269,-4.888,179.946
7.870,58.230,-5.145,179.929
7.880,58.188,-5.391,179.914
7.890,58.143,-5.647,179.898
7.900,58.097,-5.903,179.884
7.910,58.047,-6.158,179.870
7.920,57.995,-6.413,179.857
7.930,57.941,-6.667,179.845
7.940,57.885,-6.911,179.835
7.950,57.825,-7.165,179.825
7.960,57.764,-7.418,179.816
7.970,57.699,-7.671,179.808
7.980,57.633,-7.914,179.802
7.990,57.564,-8.166,179.796
8.000,57.493,-8.408,179.791
8.010,57.420,-8.649,179.787
8.020,57.345,-8.891,179.784
8.030,57.267,-9.132,179.781
8.040,57.185,-9.383,179.780
8.050,57.101,-9.634,179.779
8.060,57.014,-9.884,179.780
8.070,56.925,-10.133,179.781
8.080,56.833,-10.382,179.783
8.090,56.739,-10.630,179.786
8.100,56.642,-10.878,179.791
8.110,56.543,-11.125,179.796
8.120,56.441,-11.371,179.802
8.130,56.337,-11.617,179.808
8.140,56.231,-11.862,179.816
8.150,56.122,-12.106,179.825
8.160,56.011,-12.350,179.835
8.170,55.900,-12.583,179.844
8.180,55.783,-12.826,179.856
8.190,55.668,-13.058,179.867
8.200,55.547,-13.300,179.881
8.210,55.423,-13.541,179.895
8.220,55.297,-13.782,179.910
8.230,55.168,-14.021,179.926
